title,description,assignee,state,milestone,labels
Customize transaction logs for PHY monitor transaction,`src/obj/uvma_cvmcu_cpi_phy_mon_trn.sv`,,open,,
Customize transaction logs for TX PHY sequence item,`src/seq/uvma_cvmcu_cpi_tx_phy_seq_item.sv`,,open,,
Customize transaction logs for RX PHY sequence item,`src/seq/uvma_cvmcu_cpi_rx_phy_seq_item.sv`,,open,,
Implement sequence item,`src/seq/uvma_cvmcu_cpi_seq_item.sv`,,open,,
Implement monitor transaction,`src/obj/uvma_cvmcu_cpi_mon_trn.sv`,,open,,
Add configuration parameters if needed,`src/obj/uvma_cvmcu_cpi_cfg.sv`,,open,,
Add state variables if needed,`src/obj/uvma_cvmcu_cpi_cntxt.sv`,,open,,
Implement 'TX' Driver Virtual Sequence,`src/seq/uvma_cvmcu_cpi_tx_drv_vseq.sv`,,open,,
Implement 'RX' Driver Virtual Sequence,`src/seq/uvma_cvmcu_cpi_rx_drv_vseq.sv`,,open,,
Implement idle virtual sequence,`src/seq/uvma_cvmcu_cpi_idle_vseq.sv`,,open,,
Implement monitor virtual sequence,`src/seq/uvma_cvmcu_cpi_mon_vseq.sv`,,open,,
Implement fixed stimulus virtual sequence,`src/seq/uvma_cvmcu_cpi_fix_stim_vseq.sv`,,open,,
Implement random stimulus virtual sequence,`src/seq/uvma_cvmcu_cpi_rand_stim_vseq.sv`,,open,,
Implement fixed illegal stimulus virtual sequence,`src/seq/uvme_cvmcu_cpi_fix_ill_stim_vseq.sv`,,open,,
Implement random illegal stimulus virtual sequence,`src/seq/uvme_cvmcu_cpi_rand_ill_stim_vseq.sv`,,open,,
