title,description,due_date
Describe CORE-V-MCU Camera Parallel Interface UVM Agent",ip.yml,
Add assertions and/or functional coverage to uvma_cvmcu_cpi_if_chkr,uvma_cvmcu_cpi_if_chkr.sv,
Implement or remove uvma_cvmcu_cpi_seq_item_c::rules_cons,uvma_cvmcu_cpi_seq_item.sv,
Implement or remove uvma_cvmcu_cpi_seq_item::post_randomize_work(),uvma_cvmcu_cpi_seq_item.sv,
Implement or remove uvma_cvmcu_cpi_seq_item_c::do_print(),uvma_cvmcu_cpi_seq_item.sv,
Implement random idles for TX PHY,uvma_cvmcu_cpi_idle_seq.sv,
Implement zero'd idles for TX PHY,uvma_cvmcu_cpi_idle_seq.sv,
Implement random idles for RX PHY,uvma_cvmcu_cpi_idle_seq.sv,
Implement zero'd idles for RX PHY,uvma_cvmcu_cpi_idle_seq.sv,
Describe uvma_cvmcu_cpi_mon_seq_c::monitor_phy(),uvma_cvmcu_cpi_mon_seq.sv,
Implement uvma_cvmcu_cpi_mon_seq_c::monitor_phy(),uvma_cvmcu_cpi_mon_seq.sv,
Implement uvma_cvmcu_cpi_tx_drv_seq_c::drive(),uvma_cvmcu_cpi_tx_drv_seq.sv,
Implement uvma_cvmcu_cpi_rand_ill_stim_seq_c illegal sequence item generation,uvma_cvmcu_cpi_rand_ill_stim_seq.sv,
Implement uvma_cvmcu_cpi_rand_ill_stim_seq_c legal sequence item generation,uvma_cvmcu_cpi_rand_ill_stim_seq.sv,
Describe uvma_cvmcu_cpi_fix_stim_seq_c::body(),uvma_cvmcu_cpi_fix_stim_seq.sv,
Implement uvma_cvmcu_cpi_fix_stim_seq_c::body(),uvma_cvmcu_cpi_fix_stim_seq.sv,
Implement uvma_cvmcu_cpi_rx_drv_seq_c::drive(),uvma_cvmcu_cpi_rx_drv_seq.sv,
Implement uvma_cvmcu_cpi_rand_stim_seq_c sequence item generation,uvma_cvmcu_cpi_rand_stim_seq.sv,
Describe uvma_cvmcu_cpi_fix_ill_stim_seq_c::body(),uvma_cvmcu_cpi_fix_ill_stim_seq.sv,
Implement uvma_cvmcu_cpi_fix_ill_stim_seq_c::body(),uvma_cvmcu_cpi_fix_ill_stim_seq.sv,
Implement or remove uvma_cvmcu_cpi_mon_trn_c::do_compare(),uvma_cvmcu_cpi_mon_trn.sv,
Implement or remove uvma_cvmcu_cpi_mon_trn_c::do_print(),uvma_cvmcu_cpi_mon_trn.sv,
