IssueType,Issue ID,Parent ID,Status,Summary,Component,Description
task,0,,To Do,Describe CORE-V-MCU Camera Parallel Interface UVM Agent",uvma_cvmcu_cpi,ip.yml,
task,1,,To Do,Add assertions and/or functional coverage to uvma_cvmcu_cpi_if_chkr,uvma_cvmcu_cpi,uvma_cvmcu_cpi_if_chkr.sv,
task,2,,To Do,Implement or remove uvma_cvmcu_cpi_seq_item_c::rules_cons,uvma_cvmcu_cpi,uvma_cvmcu_cpi_seq_item.sv,
task,3,,To Do,Implement or remove uvma_cvmcu_cpi_seq_item::post_randomize_work(),uvma_cvmcu_cpi,uvma_cvmcu_cpi_seq_item.sv,
task,4,,To Do,Implement or remove uvma_cvmcu_cpi_seq_item_c::do_print(),uvma_cvmcu_cpi,uvma_cvmcu_cpi_seq_item.sv,
task,5,,To Do,Implement random idles for TX PHY,uvma_cvmcu_cpi,uvma_cvmcu_cpi_idle_seq.sv,
task,6,,To Do,Implement zero'd idles for TX PHY,uvma_cvmcu_cpi,uvma_cvmcu_cpi_idle_seq.sv,
task,7,,To Do,Implement random idles for RX PHY,uvma_cvmcu_cpi,uvma_cvmcu_cpi_idle_seq.sv,
task,8,,To Do,Implement zero'd idles for RX PHY,uvma_cvmcu_cpi,uvma_cvmcu_cpi_idle_seq.sv,
task,9,,To Do,Describe uvma_cvmcu_cpi_mon_seq_c::monitor_phy(),uvma_cvmcu_cpi,uvma_cvmcu_cpi_mon_seq.sv,
task,10,,To Do,Implement uvma_cvmcu_cpi_mon_seq_c::monitor_phy(),uvma_cvmcu_cpi,uvma_cvmcu_cpi_mon_seq.sv,
task,11,,To Do,Implement uvma_cvmcu_cpi_tx_drv_seq_c::drive(),uvma_cvmcu_cpi,uvma_cvmcu_cpi_tx_drv_seq.sv,
task,12,,To Do,Implement uvma_cvmcu_cpi_rand_ill_stim_seq_c illegal sequence item generation,uvma_cvmcu_cpi,uvma_cvmcu_cpi_rand_ill_stim_seq.sv,
task,13,,To Do,Implement uvma_cvmcu_cpi_rand_ill_stim_seq_c legal sequence item generation,uvma_cvmcu_cpi,uvma_cvmcu_cpi_rand_ill_stim_seq.sv,
task,14,,To Do,Describe uvma_cvmcu_cpi_fix_stim_seq_c::body(),uvma_cvmcu_cpi,uvma_cvmcu_cpi_fix_stim_seq.sv,
task,15,,To Do,Implement uvma_cvmcu_cpi_fix_stim_seq_c::body(),uvma_cvmcu_cpi,uvma_cvmcu_cpi_fix_stim_seq.sv,
task,16,,To Do,Implement uvma_cvmcu_cpi_rx_drv_seq_c::drive(),uvma_cvmcu_cpi,uvma_cvmcu_cpi_rx_drv_seq.sv,
task,17,,To Do,Implement uvma_cvmcu_cpi_rand_stim_seq_c sequence item generation,uvma_cvmcu_cpi,uvma_cvmcu_cpi_rand_stim_seq.sv,
task,18,,To Do,Describe uvma_cvmcu_cpi_fix_ill_stim_seq_c::body(),uvma_cvmcu_cpi,uvma_cvmcu_cpi_fix_ill_stim_seq.sv,
task,19,,To Do,Implement uvma_cvmcu_cpi_fix_ill_stim_seq_c::body(),uvma_cvmcu_cpi,uvma_cvmcu_cpi_fix_ill_stim_seq.sv,
task,20,,To Do,Implement or remove uvma_cvmcu_cpi_mon_trn_c::do_compare(),uvma_cvmcu_cpi,uvma_cvmcu_cpi_mon_trn.sv,
task,21,,To Do,Implement or remove uvma_cvmcu_cpi_mon_trn_c::do_print(),uvma_cvmcu_cpi,uvma_cvmcu_cpi_mon_trn.sv,
