Work Item Type,Title,Priority
Issue,Describe CORE-V-MCU Debug Interface UVM Agent",1
Issue,Add assertions and/or functional coverage to uvma_cvmcu_dbg_if_chkr,1
Issue,Describe uvma_cvmcu_dbg_fix_stim_seq_c::body(),1
Issue,Implement uvma_cvmcu_dbg_fix_stim_seq_c::body(),1
Issue,Describe uvma_cvmcu_dbg_mon_seq_c::monitor_phy(),1
Issue,Implement uvma_cvmcu_dbg_mon_seq_c::monitor_phy(),1
Issue,Implement uvma_cvmcu_dbg_core_drv_seq_c::drive(),1
Issue,Describe uvma_cvmcu_dbg_fix_ill_stim_seq_c::body(),1
Issue,Implement uvma_cvmcu_dbg_fix_ill_stim_seq_c::body(),1
Issue,Implement uvma_cvmcu_dbg_sys_drv_seq_c::drive(),1
Issue,Implement random idles for CORE PHY,1
Issue,Implement zero'd idles for CORE PHY,1
Issue,Implement random idles for SYS PHY,1
Issue,Implement zero'd idles for SYS PHY,1
Issue,Implement or remove uvma_cvmcu_dbg_seq_item_c::rules_cons,1
Issue,Implement or remove uvma_cvmcu_dbg_seq_item::post_randomize_work(),1
Issue,Implement or remove uvma_cvmcu_dbg_seq_item_c::do_print(),1
Issue,Implement uvma_cvmcu_dbg_rand_ill_stim_seq_c illegal sequence item generation,1
Issue,Implement uvma_cvmcu_dbg_rand_ill_stim_seq_c legal sequence item generation,1
Issue,Implement uvma_cvmcu_dbg_rand_stim_seq_c sequence item generation,1
Issue,Implement or remove uvma_cvmcu_dbg_mon_trn_c::do_compare(),1
Issue,Implement or remove uvma_cvmcu_dbg_mon_trn_c::do_print(),1
