title,description,assignee,state,milestone,labels
Customize transaction logs for PHY monitor transaction,`src/obj/uvma_cvmcu_dbg_phy_mon_trn.sv`,,open,,
Customize transaction logs for CORE PHY sequence item,`src/seq/uvma_cvmcu_dbg_core_phy_seq_item.sv`,,open,,
Customize transaction logs for SYS PHY sequence item,`src/seq/uvma_cvmcu_dbg_sys_phy_seq_item.sv`,,open,,
Implement sequence item,`src/seq/uvma_cvmcu_dbg_seq_item.sv`,,open,,
Implement monitor transaction,`src/obj/uvma_cvmcu_dbg_mon_trn.sv`,,open,,
Add configuration parameters if needed,`src/obj/uvma_cvmcu_dbg_cfg.sv`,,open,,
Add state variables if needed,`src/obj/uvma_cvmcu_dbg_cntxt.sv`,,open,,
Implement 'CORE' Driver Virtual Sequence,`src/seq/uvma_cvmcu_dbg_core_drv_vseq.sv`,,open,,
Implement 'SYS' Driver Virtual Sequence,`src/seq/uvma_cvmcu_dbg_sys_drv_vseq.sv`,,open,,
Implement idle virtual sequence,`src/seq/uvma_cvmcu_dbg_idle_vseq.sv`,,open,,
Implement monitor virtual sequence,`src/seq/uvma_cvmcu_dbg_mon_vseq.sv`,,open,,
Implement fixed stimulus virtual sequence,`src/seq/uvma_cvmcu_dbg_fix_stim_vseq.sv`,,open,,
Implement random stimulus virtual sequence,`src/seq/uvma_cvmcu_dbg_rand_stim_vseq.sv`,,open,,
Implement fixed illegal stimulus virtual sequence,`src/seq/uvme_cvmcu_dbg_fix_ill_stim_vseq.sv`,,open,,
Implement random illegal stimulus virtual sequence,`src/seq/uvme_cvmcu_dbg_rand_ill_stim_vseq.sv`,,open,,
