title,description,due_date
Describe CORE-V-MCU Debug Interface UVM Agent",ip.yml,
Add assertions and/or functional coverage to uvma_cvmcu_dbg_if_chkr,uvma_cvmcu_dbg_if_chkr.sv,
Describe uvma_cvmcu_dbg_fix_stim_seq_c::body(),uvma_cvmcu_dbg_fix_stim_seq.sv,
Implement uvma_cvmcu_dbg_fix_stim_seq_c::body(),uvma_cvmcu_dbg_fix_stim_seq.sv,
Describe uvma_cvmcu_dbg_mon_seq_c::monitor_phy(),uvma_cvmcu_dbg_mon_seq.sv,
Implement uvma_cvmcu_dbg_mon_seq_c::monitor_phy(),uvma_cvmcu_dbg_mon_seq.sv,
Implement uvma_cvmcu_dbg_core_drv_seq_c::drive(),uvma_cvmcu_dbg_core_drv_seq.sv,
Describe uvma_cvmcu_dbg_fix_ill_stim_seq_c::body(),uvma_cvmcu_dbg_fix_ill_stim_seq.sv,
Implement uvma_cvmcu_dbg_fix_ill_stim_seq_c::body(),uvma_cvmcu_dbg_fix_ill_stim_seq.sv,
Implement uvma_cvmcu_dbg_sys_drv_seq_c::drive(),uvma_cvmcu_dbg_sys_drv_seq.sv,
Implement random idles for CORE PHY,uvma_cvmcu_dbg_idle_seq.sv,
Implement zero'd idles for CORE PHY,uvma_cvmcu_dbg_idle_seq.sv,
Implement random idles for SYS PHY,uvma_cvmcu_dbg_idle_seq.sv,
Implement zero'd idles for SYS PHY,uvma_cvmcu_dbg_idle_seq.sv,
Implement or remove uvma_cvmcu_dbg_seq_item_c::rules_cons,uvma_cvmcu_dbg_seq_item.sv,
Implement or remove uvma_cvmcu_dbg_seq_item::post_randomize_work(),uvma_cvmcu_dbg_seq_item.sv,
Implement or remove uvma_cvmcu_dbg_seq_item_c::do_print(),uvma_cvmcu_dbg_seq_item.sv,
Implement uvma_cvmcu_dbg_rand_ill_stim_seq_c illegal sequence item generation,uvma_cvmcu_dbg_rand_ill_stim_seq.sv,
Implement uvma_cvmcu_dbg_rand_ill_stim_seq_c legal sequence item generation,uvma_cvmcu_dbg_rand_ill_stim_seq.sv,
Implement uvma_cvmcu_dbg_rand_stim_seq_c sequence item generation,uvma_cvmcu_dbg_rand_stim_seq.sv,
Implement or remove uvma_cvmcu_dbg_mon_trn_c::do_compare(),uvma_cvmcu_dbg_mon_trn.sv,
Implement or remove uvma_cvmcu_dbg_mon_trn_c::do_print(),uvma_cvmcu_dbg_mon_trn.sv,
