title,description,assignee,state,milestone,labels
Describe CORE-V-MCU Event Interface UVM Agent",ip.yml,,open,,
Add assertions and/or functional coverage to uvma_cvmcu_event_if_chkr,uvma_cvmcu_event_if_chkr.sv,,open,,
Implement uvma_cvmcu_event_rand_stim_seq_c sequence item generation,uvma_cvmcu_event_rand_stim_seq.sv,,open,,
Implement uvma_cvmcu_event_sys_drv_seq_c::drive(),uvma_cvmcu_event_sys_drv_seq.sv,,open,,
Describe uvma_cvmcu_event_mon_seq_c::monitor_phy(),uvma_cvmcu_event_mon_seq.sv,,open,,
Implement uvma_cvmcu_event_mon_seq_c::monitor_phy(),uvma_cvmcu_event_mon_seq.sv,,open,,
Describe uvma_cvmcu_event_fix_stim_seq_c::body(),uvma_cvmcu_event_fix_stim_seq.sv,,open,,
Implement uvma_cvmcu_event_fix_stim_seq_c::body(),uvma_cvmcu_event_fix_stim_seq.sv,,open,,
Describe uvma_cvmcu_event_fix_ill_stim_seq_c::body(),uvma_cvmcu_event_fix_ill_stim_seq.sv,,open,,
Implement uvma_cvmcu_event_fix_ill_stim_seq_c::body(),uvma_cvmcu_event_fix_ill_stim_seq.sv,,open,,
Implement random idles for CORE PHY,uvma_cvmcu_event_idle_seq.sv,,open,,
Implement zero'd idles for CORE PHY,uvma_cvmcu_event_idle_seq.sv,,open,,
Implement random idles for SYS PHY,uvma_cvmcu_event_idle_seq.sv,,open,,
Implement zero'd idles for SYS PHY,uvma_cvmcu_event_idle_seq.sv,,open,,
Implement uvma_cvmcu_event_rand_ill_stim_seq_c illegal sequence item generation,uvma_cvmcu_event_rand_ill_stim_seq.sv,,open,,
Implement uvma_cvmcu_event_rand_ill_stim_seq_c legal sequence item generation,uvma_cvmcu_event_rand_ill_stim_seq.sv,,open,,
Implement or remove uvma_cvmcu_event_seq_item_c::rules_cons,uvma_cvmcu_event_seq_item.sv,,open,,
Implement or remove uvma_cvmcu_event_seq_item_c::do_print(),uvma_cvmcu_event_seq_item.sv,,open,,
Implement uvma_cvmcu_event_core_drv_seq_c::drive(),uvma_cvmcu_event_core_drv_seq.sv,,open,,
Implement or remove uvma_cvmcu_event_mon_trn_c::do_compare(),uvma_cvmcu_event_mon_trn.sv,,open,,
Implement or remove uvma_cvmcu_event_mon_trn_c::do_print(),uvma_cvmcu_event_mon_trn.sv,,open,,
