IssueType,Issue ID,Parent ID,Status,Summary,Component,Description
task,0,,To Do,Customize transaction logs for physical layer,uvma_cvmcu_event,Modify `get_metadata()` in generated code to make logs more useful for debugging
Sub-task,,0,To Do,PHY monitor transaction,uvma_cvmcu_event,`src/obj/uvma_cvmcu_event_phy_mon_trn.sv`
Sub-task,,0,To Do,CORE PHY sequence item,uvma_cvmcu_event,`src/seq/uvma_cvmcu_event_core_phy_seq_item.sv`
Sub-task,,0,To Do,SYS PHY sequence item,uvma_cvmcu_event,`src/seq/uvma_cvmcu_event_sys_phy_seq_item.sv`
task,1,,To Do,Implement logical transaction model,uvma_cvmcu_event,
Sub-task,,1,To Do,Sequence item,uvma_cvmcu_event,`src/seq/uvma_cvmcu_event_seq_item.sv`
Sub-task,,1,To Do,Monitor transaction,uvma_cvmcu_event,`src/obj/uvma_cvmcu_event_mon_trn.sv`
task,2,,To Do,Protocol implementation,uvma_cvmcu_event,
Sub-task,,2,To Do,Add configuration parameters if needed,uvma_cvmcu_event,`src/obj/uvma_cvmcu_event_cfg.sv`
Sub-task,,2,To Do,Add state variables if needed,uvma_cvmcu_event,`src/obj/uvma_cvmcu_event_cntxt.sv`
Sub-task,,2,To Do,'CORE' Driver Virtual Sequence,uvma_cvmcu_event,`src/seq/uvma_cvmcu_event_core_drv_vseq.sv`
Sub-task,,2,To Do,'SYS' Driver Virtual Sequence,uvma_cvmcu_event,`src/seq/uvma_cvmcu_event_sys_drv_vseq.sv`
Sub-task,,2,To Do,Idle virtual sequence,uvma_cvmcu_event,`src/seq/uvma_cvmcu_event_idle_vseq.sv`
Sub-task,,2,To Do,Monitor virtual sequence,uvma_cvmcu_event,`src/seq/uvma_cvmcu_event_mon_vseq.sv`
task,3,,To Do,Implement stimulus,uvma_cvmcu_event,Modify the sample code to form stimulus.
Sub-task,,3,To Do,Fixed stimulus virtual sequence,uvma_cvmcu_event,`src/seq/uvma_cvmcu_event_fix_stim_vseq.sv`
Sub-task,,3,To Do,Random stimulus virtual sequence,uvma_cvmcu_event,`src/seq/uvma_cvmcu_event_rand_stim_vseq.sv`
Sub-task,,3,To Do,Fixed illegal stimulus virtual sequence,uvma_cvmcu_event,`src/seq/uvme_cvmcu_event_fix_ill_stim_vseq.sv`
Sub-task,,3,To Do,Random illegal stimulus virtual sequence,uvma_cvmcu_event,`src/seq/uvme_cvmcu_event_rand_ill_stim_vseq.sv`
