title,description,assignee,state,milestone,labels
Customize transaction logs for PADI monitor transaction,`src/obj/uvma_cvmcu_io_padi_mon_trn.sv`,,open,,
Customize transaction logs for BOARD PADI sequence item,`src/seq/uvma_cvmcu_io_board_padi_seq_item.sv`,,open,,
Customize transaction logs for CHIP PADI sequence item,`src/seq/uvma_cvmcu_io_chip_padi_seq_item.sv`,,open,,
Customize transaction logs for PADO monitor transaction,`src/obj/uvma_cvmcu_io_pado_mon_trn.sv`,,open,,
Customize transaction logs for BOARD PADO sequence item,`src/seq/uvma_cvmcu_io_board_pado_seq_item.sv`,,open,,
Customize transaction logs for CHIP PADO sequence item,`src/seq/uvma_cvmcu_io_chip_pado_seq_item.sv`,,open,,
Implement sequence item,`src/seq/uvma_cvmcu_io_seq_item.sv`,,open,,
Implement monitor transaction,`src/obj/uvma_cvmcu_io_mon_trn.sv`,,open,,
Add configuration parameters if needed,`src/obj/uvma_cvmcu_io_cfg.sv`,,open,,
Add state variables if needed,`src/obj/uvma_cvmcu_io_cntxt.sv`,,open,,
Implement 'BOARD' Driver Virtual Sequence,`src/seq/uvma_cvmcu_io_board_drv_vseq.sv`,,open,,
Implement 'CHIP' Driver Virtual Sequence,`src/seq/uvma_cvmcu_io_chip_drv_vseq.sv`,,open,,
Implement idle virtual sequence,`src/seq/uvma_cvmcu_io_idle_vseq.sv`,,open,,
Implement monitor virtual sequence,`src/seq/uvma_cvmcu_io_mon_vseq.sv`,,open,,
Implement fixed stimulus virtual sequence,`src/seq/uvma_cvmcu_io_fix_stim_vseq.sv`,,open,,
Implement random stimulus virtual sequence,`src/seq/uvma_cvmcu_io_rand_stim_vseq.sv`,,open,,
Implement fixed illegal stimulus virtual sequence,`src/seq/uvme_cvmcu_io_fix_ill_stim_vseq.sv`,,open,,
Implement random illegal stimulus virtual sequence,`src/seq/uvme_cvmcu_io_rand_ill_stim_vseq.sv`,,open,,
