title,description,due_date
Customize transaction logs for PADI monitor transaction,`src/obj/uvma_cvmcu_io_padi_mon_trn.sv`,
Customize transaction logs for BOARD PADI sequence item,`src/seq/uvma_cvmcu_io_board_padi_seq_item.sv`,
Customize transaction logs for CHIP PADI sequence item,`src/seq/uvma_cvmcu_io_chip_padi_seq_item.sv`,
Customize transaction logs for PADO monitor transaction,`src/obj/uvma_cvmcu_io_pado_mon_trn.sv`,
Customize transaction logs for BOARD PADO sequence item,`src/seq/uvma_cvmcu_io_board_pado_seq_item.sv`,
Customize transaction logs for CHIP PADO sequence item,`src/seq/uvma_cvmcu_io_chip_pado_seq_item.sv`,
Implement sequence item,`src/seq/uvma_cvmcu_io_seq_item.sv`,
Implement monitor transaction,`src/obj/uvma_cvmcu_io_mon_trn.sv`,
Add configuration parameters if needed,`src/obj/uvma_cvmcu_io_cfg.sv`,
Add state variables if needed,`src/obj/uvma_cvmcu_io_cntxt.sv`,
Implement 'BOARD' Driver Virtual Sequence,`src/seq/uvma_cvmcu_io_board_drv_vseq.sv`,
Implement 'CHIP' Driver Virtual Sequence,`src/seq/uvma_cvmcu_io_chip_drv_vseq.sv`,
Implement idle virtual sequence,`src/seq/uvma_cvmcu_io_idle_vseq.sv`,
Implement monitor virtual sequence,`src/seq/uvma_cvmcu_io_mon_vseq.sv`,
Implement fixed stimulus virtual sequence,`src/seq/uvma_cvmcu_io_fix_stim_vseq.sv`,
Implement random stimulus virtual sequence,`src/seq/uvma_cvmcu_io_rand_stim_vseq.sv`,
Implement fixed illegal stimulus virtual sequence,`src/seq/uvme_cvmcu_io_fix_ill_stim_vseq.sv`,
Implement random illegal stimulus virtual sequence,`src/seq/uvme_cvmcu_io_rand_ill_stim_vseq.sv`,
