IssueType,Issue ID,Parent ID,Status,Summary,Component,Description
task,0,,To Do,Describe CORE-V-MCU IO UVM Agent",uvma_cvmcu_io,ip.yml,
task,1,,To Do,Add assertions and/or functional coverage to uvma_cvmcu_io_if_chkr,uvma_cvmcu_io,uvma_cvmcu_io_if_chkr.sv,
task,2,,To Do,Implement uvma_cvmcu_io_rand_ill_stim_seq_c illegal sequence item generation,uvma_cvmcu_io,uvma_cvmcu_io_rand_ill_stim_seq.sv,
task,3,,To Do,Implement uvma_cvmcu_io_rand_ill_stim_seq_c legal sequence item generation,uvma_cvmcu_io,uvma_cvmcu_io_rand_ill_stim_seq.sv,
task,4,,To Do,Describe uvma_cvmcu_io_fix_stim_seq_c::body(),uvma_cvmcu_io,uvma_cvmcu_io_fix_stim_seq.sv,
task,5,,To Do,Implement uvma_cvmcu_io_fix_stim_seq_c::body(),uvma_cvmcu_io,uvma_cvmcu_io_fix_stim_seq.sv,
task,6,,To Do,Implement random idles for BOARD PADI,uvma_cvmcu_io,uvma_cvmcu_io_idle_seq.sv,
task,7,,To Do,Implement random idles for BOARD PADO,uvma_cvmcu_io,uvma_cvmcu_io_idle_seq.sv,
task,8,,To Do,Implement zero'd idles for BOARD PADI,uvma_cvmcu_io,uvma_cvmcu_io_idle_seq.sv,
task,9,,To Do,Implement zero'd idles for BOARD PADO,uvma_cvmcu_io,uvma_cvmcu_io_idle_seq.sv,
task,10,,To Do,Implement random idles for CHIP PADI,uvma_cvmcu_io,uvma_cvmcu_io_idle_seq.sv,
task,11,,To Do,Implement random idles for CHIP PADO,uvma_cvmcu_io,uvma_cvmcu_io_idle_seq.sv,
task,12,,To Do,Implement zero'd idles for CHIP PADI,uvma_cvmcu_io,uvma_cvmcu_io_idle_seq.sv,
task,13,,To Do,Implement zero'd idles for CHIP PADO,uvma_cvmcu_io,uvma_cvmcu_io_idle_seq.sv,
task,14,,To Do,Describe uvma_cvmcu_io_fix_ill_stim_seq_c::body(),uvma_cvmcu_io,uvma_cvmcu_io_fix_ill_stim_seq.sv,
task,15,,To Do,Implement uvma_cvmcu_io_fix_ill_stim_seq_c::body(),uvma_cvmcu_io,uvma_cvmcu_io_fix_ill_stim_seq.sv,
task,16,,To Do,Implement uvma_cvmcu_io_board_drv_seq_c::drive(),uvma_cvmcu_io,uvma_cvmcu_io_board_drv_seq.sv,
task,17,,To Do,Implement uvma_cvmcu_io_board_drv_seq_c::drive_pado(),uvma_cvmcu_io,uvma_cvmcu_io_board_drv_seq.sv,
task,18,,To Do,Implement or remove uvma_cvmcu_io_seq_item_c::rules_cons,uvma_cvmcu_io,uvma_cvmcu_io_seq_item.sv,
task,19,,To Do,Implement or remove uvma_cvmcu_io_seq_item_c::do_print(),uvma_cvmcu_io,uvma_cvmcu_io_seq_item.sv,
task,20,,To Do,Implement uvma_cvmcu_io_chip_drv_seq_c::drive(),uvma_cvmcu_io,uvma_cvmcu_io_chip_drv_seq.sv,
task,21,,To Do,Implement uvma_cvmcu_io_chip_drv_seq_c::drive_padi(),uvma_cvmcu_io,uvma_cvmcu_io_chip_drv_seq.sv,
task,22,,To Do,Implement uvma_cvmcu_io_rand_stim_seq_c sequence item generation,uvma_cvmcu_io,uvma_cvmcu_io_rand_stim_seq.sv,
task,23,,To Do,Describe uvma_cvmcu_io_mon_seq_c::monitor_padi(),uvma_cvmcu_io,uvma_cvmcu_io_mon_seq.sv,
task,24,,To Do,Implement uvma_cvmcu_io_mon_seq_c::monitor_padi(),uvma_cvmcu_io,uvma_cvmcu_io_mon_seq.sv,
task,25,,To Do,Describe uvma_cvmcu_io_mon_seq_c::monitor_pado(),uvma_cvmcu_io,uvma_cvmcu_io_mon_seq.sv,
task,26,,To Do,Implement uvma_cvmcu_io_mon_seq_c::monitor_pado(),uvma_cvmcu_io,uvma_cvmcu_io_mon_seq.sv,
task,27,,To Do,Implement or remove uvma_cvmcu_io_mon_trn_c::do_compare(),uvma_cvmcu_io,uvma_cvmcu_io_mon_trn.sv,
task,28,,To Do,Implement or remove uvma_cvmcu_io_mon_trn_c::do_print(),uvma_cvmcu_io,uvma_cvmcu_io_mon_trn.sv,
