Work Item Type,Title,Priority
Issue,Describe CORE-V-MCU Camera Parallel Interface UVM Agent Self-Test Environment",1
Issue,Implement or remove uvme_cvmcu_cpi_st_cfg_c::rules_cons,1
Issue,Complete uvme_cvmcu_cpi_st_cfg_c scoreboard logging configuration,1
Issue,Implement uvme_cvmcu_cpi_st_cfg_c::post_randomize() or remove altogether,1
Issue,Describe uvme_cvmcu_cpi_st_prd_c::predict_agent(),1
Issue,Describe uvme_cvmcu_cpi_st_prd_c::predict_e2e(),1
Issue,Implement cvmcu_cpi_st_seq_item_cg,1
Issue,Implement cvmcu_cpi_st_mon_trn_cg,1
Issue,Implement cvmcu_cpi_st_tx_phy_seq_item_cg,1
Issue,Implement cvmcu_cpi_st_rx_phy_seq_item_cg,1
Issue,Implement cvmcu_cpi_st_phy_mon_trn_cg,1
