title,description,assignee,state,milestone,labels
Describe CORE-V-MCU Debug Interface UVM Agent Self-Test Environment",ip.yml,,open,,
Implement or remove uvme_cvmcu_dbg_st_cfg_c::rules_cons,uvme_cvmcu_dbg_st_cfg.sv,,open,,
Complete uvme_cvmcu_dbg_st_cfg_c scoreboard logging configuration,uvme_cvmcu_dbg_st_cfg.sv,,open,,
Implement uvme_cvmcu_dbg_st_cfg_c::post_randomize() or remove altogether,uvme_cvmcu_dbg_st_cfg.sv,,open,,
Implement cvmcu_dbg_st_seq_item_cg,uvme_cvmcu_dbg_st_cov_model.sv,,open,,
Implement cvmcu_dbg_st_mon_trn_cg,uvme_cvmcu_dbg_st_cov_model.sv,,open,,
Implement cvmcu_dbg_st_core_phy_seq_item_cg,uvme_cvmcu_dbg_st_cov_model.sv,,open,,
Implement cvmcu_dbg_st_sys_phy_seq_item_cg,uvme_cvmcu_dbg_st_cov_model.sv,,open,,
Implement cvmcu_dbg_st_phy_mon_trn_cg,uvme_cvmcu_dbg_st_cov_model.sv,,open,,
Describe uvme_cvmcu_dbg_st_prd_c::predict_agent(),uvme_cvmcu_dbg_st_prd.sv,,open,,
Describe uvme_cvmcu_dbg_st_prd_c::predict_e2e(),uvme_cvmcu_dbg_st_prd.sv,,open,,
