Work Item Type,Title,Priority
Issue,Describe CORE-V-MCU IO UVM Agent Self-Test Environment",1
Issue,Implement or remove uvme_cvmcu_io_st_cfg_c::rules_cons,1
Issue,Complete uvme_cvmcu_io_st_cfg_c scoreboard logging configuration,1
Issue,Implement uvme_cvmcu_io_st_cfg_c::post_randomize() or remove altogether,1
Issue,Implement cvmcu_io_st_seq_item_cg,1
Issue,Implement cvmcu_io_st_ig_mon_trn_cg,1
Issue,Implement cvmcu_io_st_eg_mon_trn_cg,1
Issue,Implement cvmcu_io_st_board_padi_seq_item_cg,1
Issue,Implement cvmcu_io_st_board_pado_seq_item_cg,1
Issue,Implement cvmcu_io_st_chip_padi_seq_item_cg,1
Issue,Implement cvmcu_io_st_chip_pado_seq_item_cg,1
Issue,Implement cvmcu_io_st_padi_mon_trn_cg,1
Issue,Implement cvmcu_io_st_pado_mon_trn_cg,1
Issue,Describe uvme_cvmcu_io_st_prd_c::predict_board(),1
Issue,Describe uvme_cvmcu_io_st_prd_c::predict_chip(),1
Issue,Describe uvme_cvmcu_io_st_prd_c::predict_ig(),1
Issue,Describe uvme_cvmcu_io_st_prd_c::predict_eg(),1
