title,description,assignee,state,milestone,labels
Describe CORE-V-MCU IO UVM Agent Self-Test Environment",ip.yml,,open,,
Implement or remove uvme_cvmcu_io_st_cfg_c::rules_cons,uvme_cvmcu_io_st_cfg.sv,,open,,
Complete uvme_cvmcu_io_st_cfg_c scoreboard logging configuration,uvme_cvmcu_io_st_cfg.sv,,open,,
Implement uvme_cvmcu_io_st_cfg_c::post_randomize() or remove altogether,uvme_cvmcu_io_st_cfg.sv,,open,,
Implement cvmcu_io_st_seq_item_cg,uvme_cvmcu_io_st_cov_model.sv,,open,,
Implement cvmcu_io_st_ig_mon_trn_cg,uvme_cvmcu_io_st_cov_model.sv,,open,,
Implement cvmcu_io_st_eg_mon_trn_cg,uvme_cvmcu_io_st_cov_model.sv,,open,,
Implement cvmcu_io_st_board_padi_seq_item_cg,uvme_cvmcu_io_st_cov_model.sv,,open,,
Implement cvmcu_io_st_board_pado_seq_item_cg,uvme_cvmcu_io_st_cov_model.sv,,open,,
Implement cvmcu_io_st_chip_padi_seq_item_cg,uvme_cvmcu_io_st_cov_model.sv,,open,,
Implement cvmcu_io_st_chip_pado_seq_item_cg,uvme_cvmcu_io_st_cov_model.sv,,open,,
Implement cvmcu_io_st_padi_mon_trn_cg,uvme_cvmcu_io_st_cov_model.sv,,open,,
Implement cvmcu_io_st_pado_mon_trn_cg,uvme_cvmcu_io_st_cov_model.sv,,open,,
Describe uvme_cvmcu_io_st_prd_c::predict_board(),uvme_cvmcu_io_st_prd.sv,,open,,
Describe uvme_cvmcu_io_st_prd_c::predict_chip(),uvme_cvmcu_io_st_prd.sv,,open,,
Describe uvme_cvmcu_io_st_prd_c::predict_ig(),uvme_cvmcu_io_st_prd.sv,,open,,
Describe uvme_cvmcu_io_st_prd_c::predict_eg(),uvme_cvmcu_io_st_prd.sv,,open,,
