title,description,due_date
Describe CORE-V-MCU IO UVM Agent Self-Test Environment",ip.yml,
Implement or remove uvme_cvmcu_io_st_cfg_c::rules_cons,uvme_cvmcu_io_st_cfg.sv,
Complete uvme_cvmcu_io_st_cfg_c scoreboard logging configuration,uvme_cvmcu_io_st_cfg.sv,
Implement uvme_cvmcu_io_st_cfg_c::post_randomize() or remove altogether,uvme_cvmcu_io_st_cfg.sv,
Implement cvmcu_io_st_seq_item_cg,uvme_cvmcu_io_st_cov_model.sv,
Implement cvmcu_io_st_ig_mon_trn_cg,uvme_cvmcu_io_st_cov_model.sv,
Implement cvmcu_io_st_eg_mon_trn_cg,uvme_cvmcu_io_st_cov_model.sv,
Implement cvmcu_io_st_board_padi_seq_item_cg,uvme_cvmcu_io_st_cov_model.sv,
Implement cvmcu_io_st_board_pado_seq_item_cg,uvme_cvmcu_io_st_cov_model.sv,
Implement cvmcu_io_st_chip_padi_seq_item_cg,uvme_cvmcu_io_st_cov_model.sv,
Implement cvmcu_io_st_chip_pado_seq_item_cg,uvme_cvmcu_io_st_cov_model.sv,
Implement cvmcu_io_st_padi_mon_trn_cg,uvme_cvmcu_io_st_cov_model.sv,
Implement cvmcu_io_st_pado_mon_trn_cg,uvme_cvmcu_io_st_cov_model.sv,
Describe uvme_cvmcu_io_st_prd_c::predict_board(),uvme_cvmcu_io_st_prd.sv,
Describe uvme_cvmcu_io_st_prd_c::predict_chip(),uvme_cvmcu_io_st_prd.sv,
Describe uvme_cvmcu_io_st_prd_c::predict_ig(),uvme_cvmcu_io_st_prd.sv,
Describe uvme_cvmcu_io_st_prd_c::predict_eg(),uvme_cvmcu_io_st_prd.sv,
