Work Item Type,Title,Priority
Issue,Describe Advanced timer counter UVM Agent",1
Issue,Add assertions and/or functional coverage to uvme_adv_timer_b_chkr,1
Issue,Describe uvma_adv_timer_b_in_drv_seq_c::drive_item(),1
Issue,Implement uvma_adv_timer_b_in_drv_seq_c::drive(),1
Issue,Implement or remove uvma_adv_timer_b_seq_item_c::rules_cons,1
Issue,Implement or remove uvma_adv_timer_b_seq_item_c::post_randomize(),1
Issue,Implement or remove uvma_adv_timer_b_seq_item_c::do_print(),1
Issue,Implement uvma_adv_timer_b_mon_seq_c::monitor(),1
Issue,Describe uvma_adv_timer_b_out_drv_seq_c::drive(),1
Issue,Remove this line after implementing uvma_adv_timer_b_out_drv_seq_c::drive(),1
Issue,Implement uvma_adv_timer_b_out_drv_seq_c::drive(),1
Issue,Implement or remove uvma_adv_timer_b_cfg_c::post_randomize(),1
Issue,Implement or remove uvma_adv_timer_b_mon_trn_c::do_compare(),1
Issue,Implement or remove uvma_adv_timer_b_mon_trn_c::do_print(),1
