title,description,due_date
Describe Advanced timer counter UVM Agent",ip.yml,
Add assertions and/or functional coverage to uvme_adv_timer_b_chkr,uvma_adv_timer_b_if_chkr.sv,
Describe uvma_adv_timer_b_in_drv_seq_c::drive_item(),uvma_adv_timer_b_in_drv_seq.sv,
Implement uvma_adv_timer_b_in_drv_seq_c::drive(),uvma_adv_timer_b_in_drv_seq.sv,
Implement or remove uvma_adv_timer_b_seq_item_c::rules_cons,uvma_adv_timer_b_seq_item.sv,
Implement or remove uvma_adv_timer_b_seq_item_c::post_randomize(),uvma_adv_timer_b_seq_item.sv,
Implement or remove uvma_adv_timer_b_seq_item_c::do_print(),uvma_adv_timer_b_seq_item.sv,
Implement uvma_adv_timer_b_mon_seq_c::monitor(),uvma_adv_timer_b_mon_seq.sv,
Describe uvma_adv_timer_b_out_drv_seq_c::drive(),uvma_adv_timer_b_out_drv_seq.sv,
Remove this line after implementing uvma_adv_timer_b_out_drv_seq_c::drive(),uvma_adv_timer_b_out_drv_seq.sv,
Implement uvma_adv_timer_b_out_drv_seq_c::drive(),uvma_adv_timer_b_out_drv_seq.sv,
Implement or remove uvma_adv_timer_b_cfg_c::post_randomize(),uvma_adv_timer_b_cfg.sv,
Implement or remove uvma_adv_timer_b_mon_trn_c::do_compare(),uvma_adv_timer_b_mon_trn.sv,
Implement or remove uvma_adv_timer_b_mon_trn_c::do_print(),uvma_adv_timer_b_mon_trn.sv,
