IssueType,Issue ID,Parent ID,Status,Summary,Component,Description
task,0,,To Do,Describe Advanced timer counter UVM Agent",uvma_adv_timer_b,ip.yml,
task,1,,To Do,Add assertions and/or functional coverage to uvme_adv_timer_b_chkr,uvma_adv_timer_b,uvma_adv_timer_b_if_chkr.sv,
task,2,,To Do,Describe uvma_adv_timer_b_in_drv_seq_c::drive_item(),uvma_adv_timer_b,uvma_adv_timer_b_in_drv_seq.sv,
task,3,,To Do,Implement uvma_adv_timer_b_in_drv_seq_c::drive(),uvma_adv_timer_b,uvma_adv_timer_b_in_drv_seq.sv,
task,4,,To Do,Implement or remove uvma_adv_timer_b_seq_item_c::rules_cons,uvma_adv_timer_b,uvma_adv_timer_b_seq_item.sv,
task,5,,To Do,Implement or remove uvma_adv_timer_b_seq_item_c::post_randomize(),uvma_adv_timer_b,uvma_adv_timer_b_seq_item.sv,
task,6,,To Do,Implement or remove uvma_adv_timer_b_seq_item_c::do_print(),uvma_adv_timer_b,uvma_adv_timer_b_seq_item.sv,
task,7,,To Do,Implement uvma_adv_timer_b_mon_seq_c::monitor(),uvma_adv_timer_b,uvma_adv_timer_b_mon_seq.sv,
task,8,,To Do,Describe uvma_adv_timer_b_out_drv_seq_c::drive(),uvma_adv_timer_b,uvma_adv_timer_b_out_drv_seq.sv,
task,9,,To Do,Remove this line after implementing uvma_adv_timer_b_out_drv_seq_c::drive(),uvma_adv_timer_b,uvma_adv_timer_b_out_drv_seq.sv,
task,10,,To Do,Implement uvma_adv_timer_b_out_drv_seq_c::drive(),uvma_adv_timer_b,uvma_adv_timer_b_out_drv_seq.sv,
task,11,,To Do,Implement or remove uvma_adv_timer_b_cfg_c::post_randomize(),uvma_adv_timer_b,uvma_adv_timer_b_cfg.sv,
task,12,,To Do,Implement or remove uvma_adv_timer_b_mon_trn_c::do_compare(),uvma_adv_timer_b,uvma_adv_timer_b_mon_trn.sv,
task,13,,To Do,Implement or remove uvma_adv_timer_b_mon_trn_c::do_print(),uvma_adv_timer_b,uvma_adv_timer_b_mon_trn.sv,
