title,description,assignee,state,milestone,labels
Describe Timer unit counter UVM Agent",ip.yml,,open,,
Add assertions and/or functional coverage to uvme_tcounter_b_chkr,uvma_tcounter_b_if_chkr.sv,,open,,
Implement uvma_tcounter_b_mon_seq_c::monitor(),uvma_tcounter_b_mon_seq.sv,,open,,
Implement or remove uvma_tcounter_b_seq_item_c::rules_cons,uvma_tcounter_b_seq_item.sv,,open,,
Implement or remove uvma_tcounter_b_seq_item_c::post_randomize(),uvma_tcounter_b_seq_item.sv,,open,,
Implement or remove uvma_tcounter_b_seq_item_c::do_print(),uvma_tcounter_b_seq_item.sv,,open,,
Describe uvma_tcounter_b_in_drv_seq_c::drive_item(),uvma_tcounter_b_in_drv_seq.sv,,open,,
Implement uvma_tcounter_b_in_drv_seq_c::drive(),uvma_tcounter_b_in_drv_seq.sv,,open,,
Describe uvma_tcounter_b_out_drv_seq_c::drive(),uvma_tcounter_b_out_drv_seq.sv,,open,,
Remove this line after implementing uvma_tcounter_b_out_drv_seq_c::drive(),uvma_tcounter_b_out_drv_seq.sv,,open,,
Implement uvma_tcounter_b_out_drv_seq_c::drive(),uvma_tcounter_b_out_drv_seq.sv,,open,,
Implement or remove uvma_tcounter_b_mon_trn_c::do_compare(),uvma_tcounter_b_mon_trn.sv,,open,,
Implement or remove uvma_tcounter_b_mon_trn_c::do_print(),uvma_tcounter_b_mon_trn.sv,,open,,
Implement or remove uvma_tcounter_b_cfg_c::post_randomize(),uvma_tcounter_b_cfg.sv,,open,,
