IssueType,Issue ID,Parent ID,Status,Summary,Component,Description
task,0,,To Do,Describe Timer unit counter UVM Agent",uvma_tcounter_b,ip.yml,
task,1,,To Do,Add assertions and/or functional coverage to uvme_tcounter_b_chkr,uvma_tcounter_b,uvma_tcounter_b_if_chkr.sv,
task,2,,To Do,Implement uvma_tcounter_b_mon_seq_c::monitor(),uvma_tcounter_b,uvma_tcounter_b_mon_seq.sv,
task,3,,To Do,Implement or remove uvma_tcounter_b_seq_item_c::rules_cons,uvma_tcounter_b,uvma_tcounter_b_seq_item.sv,
task,4,,To Do,Implement or remove uvma_tcounter_b_seq_item_c::post_randomize(),uvma_tcounter_b,uvma_tcounter_b_seq_item.sv,
task,5,,To Do,Implement or remove uvma_tcounter_b_seq_item_c::do_print(),uvma_tcounter_b,uvma_tcounter_b_seq_item.sv,
task,6,,To Do,Describe uvma_tcounter_b_in_drv_seq_c::drive_item(),uvma_tcounter_b,uvma_tcounter_b_in_drv_seq.sv,
task,7,,To Do,Implement uvma_tcounter_b_in_drv_seq_c::drive(),uvma_tcounter_b,uvma_tcounter_b_in_drv_seq.sv,
task,8,,To Do,Describe uvma_tcounter_b_out_drv_seq_c::drive(),uvma_tcounter_b,uvma_tcounter_b_out_drv_seq.sv,
task,9,,To Do,Remove this line after implementing uvma_tcounter_b_out_drv_seq_c::drive(),uvma_tcounter_b,uvma_tcounter_b_out_drv_seq.sv,
task,10,,To Do,Implement uvma_tcounter_b_out_drv_seq_c::drive(),uvma_tcounter_b,uvma_tcounter_b_out_drv_seq.sv,
task,11,,To Do,Implement or remove uvma_tcounter_b_mon_trn_c::do_compare(),uvma_tcounter_b,uvma_tcounter_b_mon_trn.sv,
task,12,,To Do,Implement or remove uvma_tcounter_b_mon_trn_c::do_print(),uvma_tcounter_b,uvma_tcounter_b_mon_trn.sv,
task,13,,To Do,Implement or remove uvma_tcounter_b_cfg_c::post_randomize(),uvma_tcounter_b,uvma_tcounter_b_cfg.sv,
