title,description,assignee,state,milestone,labels
Customize transaction logs for Control Plane sequence item,`src/seq/uvma_tprescaler_b_cp_seq_item.sv`,,open,,
Customize transaction logs for Control Plane monitor transaction,`src/obj/uvma_tprescaler_b_cp_mon_trn.sv`,,open,,
Customize transaction logs for Data Plane Input sequence item,`src/obj/uvma_tprescaler_b_dpi_seq_item.sv`,,open,,
Customize transaction logs for Data Plane Input monitor transaction,`src/obj/uvma_tprescaler_b_dpi_mon_trn.sv`,,open,,
Customize transaction logs for Data Plane Output sequence item,`src/obj/uvma_tprescaler_b_dpo_seq_item.sv`,,open,,
Customize transaction logs for Data Plane Output monitor transaction,`src/obj/uvma_tprescaler_b_dpo_mon_trn.sv`,,open,,
Implement sequence item,`src/seq/uvma_tprescaler_b_seq_item.sv`,,open,,
Immplement monitor transaction,`src/seq/uvma_tprescaler_b_mon_trn.sv`,,open,,
Add configuration parameters if needed,`src/obj/uvma_tprescaler_b_cfg.sv`,,open,,
Add state variables if needed,`src/obj/uvma_tprescaler_b_cntxt.sv`,,open,,
Implement input driver virtual sequence,`src/seq/uvma_tprescaler_b_in_drv_vseq.sv`,,open,,
Implement output driver virtual sequence,`src/seq/uvma_tprescaler_b_out_drv_vseq.sv`,,open,,
Implement idle virtual sequence,`src/seq/uvma_tprescaler_b_idle_vseq.sv`,,open,,
Implement monitor virtual sequence,`src/seq/uvma_tprescaler_b_mon_vseq.sv`,,,,
