IssueType,Issue ID,Parent ID,Status,Summary,Component,Description
task,0,,To Do,Describe Timer unit prescaler Block UVM Environment",uvme_tprescaler_b,ip.yml,
task,1,,To Do,Describe uvme_tprescaler_b_fix_stim_seq_c::body(),uvme_tprescaler_b,uvme_tprescaler_b_fix_stim_seq.sv,
task,2,,To Do,Implement uvme_tprescaler_b_fix_stim_seq_c::body(),uvme_tprescaler_b,uvme_tprescaler_b_fix_stim_seq.sv,
task,3,,To Do,Implement illegal stimulus sequence item constraint for uvme_tprescaler_b_rand_ill_stim_seq_c,uvme_tprescaler_b,uvme_tprescaler_b_rand_ill_stim_seq.sv,
task,4,,To Do,Describe uvme_tprescaler_b_fix_ill_stim_seq_c::body(),uvme_tprescaler_b,uvme_tprescaler_b_fix_ill_stim_seq.sv,
task,5,,To Do,Implement uvme_tprescaler_b_fix_ill_stim_seq_c::body(),uvme_tprescaler_b,uvme_tprescaler_b_fix_ill_stim_seq.sv,
task,6,,To Do,Implement or remove uvme_tprescaler_b_cfg_c::rules_cons,uvme_tprescaler_b,uvme_tprescaler_b_cfg.sv,
task,7,,To Do,Complete uvme_tprescaler_b_cfg_c scoreboard logging configuration,uvme_tprescaler_b,uvme_tprescaler_b_cfg.sv,
task,8,,To Do,Implement uvme_tprescaler_b_cfg_c::post_randomize() or remove altogether,uvme_tprescaler_b,uvme_tprescaler_b_cfg.sv,
task,9,,To Do,Implement tprescaler_b_cfg_cg,uvme_tprescaler_b,uvme_tprescaler_b_cov_model.sv,
task,10,,To Do,Implement tprescaler_b_cntxt_cg,uvme_tprescaler_b,uvme_tprescaler_b_cov_model.sv,
task,11,,To Do,Implement tprescaler_b_seq_item_cg,uvme_tprescaler_b,uvme_tprescaler_b_cov_model.sv,
task,12,,To Do,Implement tprescaler_b_in_mon_trn_cg,uvme_tprescaler_b,uvme_tprescaler_b_cov_model.sv,
task,13,,To Do,Implement tprescaler_b_out_mon_trn_cg,uvme_tprescaler_b,uvme_tprescaler_b_cov_model.sv,
task,14,,To Do,Implement tprescaler_b_cp_seq_item_cg,uvme_tprescaler_b,uvme_tprescaler_b_cov_model.sv,
task,15,,To Do,Implement tprescaler_b_dpi_seq_item_cg,uvme_tprescaler_b,uvme_tprescaler_b_cov_model.sv,
task,16,,To Do,Implement tprescaler_b_dpo_seq_item_cg,uvme_tprescaler_b,uvme_tprescaler_b_cov_model.sv,
task,17,,To Do,Implement tprescaler_b_cp_mon_trn_cg,uvme_tprescaler_b,uvme_tprescaler_b_cov_model.sv,
task,18,,To Do,Implement tprescaler_b_dpi_mon_trn_cg,uvme_tprescaler_b,uvme_tprescaler_b_cov_model.sv,
task,19,,To Do,Implement tprescaler_b_dpo_mon_trn_cg,uvme_tprescaler_b,uvme_tprescaler_b_cov_model.sv,
task,20,,To Do,Describe uvme_tprescaler_b_prd_c::predict(),uvme_tprescaler_b,uvme_tprescaler_b_prd.sv,
task,21,,To Do,Implement uvme_tprescaler_b_prd_c::predict(),uvme_tprescaler_b,uvme_tprescaler_b_prd.sv,
