title,description,due_date
Add assertions and/or functional coverage to uvme_cvmcu_chip_chkr,uvme_cvmcu_chip_chkr.sv,
Assign interface signals to uvme_cvmcu_chip_probe_if pins,uvme_cvmcu_chip_probe_if.sv,
Describe uvme_cvmcu_chip_cfg_seq_c::body(),uvme_cvmcu_chip_cfg_seq.sv,
Implement uvme_cvmcu_chip_cfg_seq_c::body(),uvme_cvmcu_chip_cfg_seq.sv,
Implement or remove uvme_cvmcu_chip_cfg_c::rules_cons,uvme_cvmcu_chip_cfg.sv,
Implement or remove uvme_cvmcu_chip_cfg_c::post_randomize(),uvme_cvmcu_chip_cfg.sv,
Implement uvme_cvmcu_chip_prd_c::predict_reg_op() for registers,uvme_cvmcu_chip_prd.sv,
Implement uvme_cvmcu_chip_prd_c::predict_reg_op() for fields,uvme_cvmcu_chip_prd.sv,
Implement uvme_cvmcu_chip_prd_c::predict_reg_op() for memories,uvme_cvmcu_chip_prd.sv,
Implement uvme_cvmcu_chip_prd_c::process_udma_qspi0_ingress(),uvme_cvmcu_chip_prd.sv,
Implement uvme_cvmcu_chip_prd_c::process_udma_qspi1_ingress(),uvme_cvmcu_chip_prd.sv,
Implement uvme_cvmcu_chip_prd_c::process_udma_camera(),uvme_cvmcu_chip_prd.sv,
Implement uvme_cvmcu_chip_prd_c::process_udma_i2c0_ingress(),uvme_cvmcu_chip_prd.sv,
Implement uvme_cvmcu_chip_prd_c::process_udma_i2c1_ingress(),uvme_cvmcu_chip_prd.sv,
Implement uvme_cvmcu_chip_prd_c::process_udma_uart0_ingress(),uvme_cvmcu_chip_prd.sv,
Implement uvme_cvmcu_chip_prd_c::process_udma_uart1_ingress(),uvme_cvmcu_chip_prd.sv,
Implement uvme_cvmcu_chip_prd_c::process_apb_i2c_ingress(),uvme_cvmcu_chip_prd.sv,
Implement uvme_cvmcu_chip_prd_c::predict_core_event(),uvme_cvmcu_chip_prd.sv,
Implement uvme_cvmcu_chip_prd_c::predict_sys_event(),uvme_cvmcu_chip_prd.sv,
Implement uvme_cvmcu_chip_prd_c::predict_mon_dbg(),uvme_cvmcu_chip_prd.sv,
Implement cvmcu_chip_cfg_cg,uvme_cvmcu_chip_cov_model.sv,
Implement cvmcu_chip_cntxt_cg,uvme_cvmcu_chip_cov_model.sv,
Implement cvmcu_chip_udma_qspi0_ingress_exp_cg,uvme_cvmcu_chip_cov_model.sv,
Implement cvmcu_chip_udma_qspi1_ingress_exp_cg,uvme_cvmcu_chip_cov_model.sv,
Implement cvmcu_chip_udma_camera_exp_cg,uvme_cvmcu_chip_cov_model.sv,
Implement cvmcu_chip_udma_i2c0_ingress_exp_cg,uvme_cvmcu_chip_cov_model.sv,
Implement cvmcu_chip_udma_i2c1_ingress_exp_cg,uvme_cvmcu_chip_cov_model.sv,
Implement cvmcu_chip_udma_uart0_ingress_exp_cg,uvme_cvmcu_chip_cov_model.sv,
Implement cvmcu_chip_udma_uart1_ingress_exp_cg,uvme_cvmcu_chip_cov_model.sv,
