IssueType,Issue ID,Parent ID,Status,Summary,Component,Description
task,0,,To Do,Add assertions and/or functional coverage to uvme_cvmcu_chip_chkr,uvme_cvmcu_chip,uvme_cvmcu_chip_chkr.sv,
task,1,,To Do,Assign interface signals to uvme_cvmcu_chip_probe_if pins,uvme_cvmcu_chip,uvme_cvmcu_chip_probe_if.sv,
task,2,,To Do,Describe uvme_cvmcu_chip_cfg_seq_c::body(),uvme_cvmcu_chip,uvme_cvmcu_chip_cfg_seq.sv,
task,3,,To Do,Implement uvme_cvmcu_chip_cfg_seq_c::body(),uvme_cvmcu_chip,uvme_cvmcu_chip_cfg_seq.sv,
task,4,,To Do,Implement or remove uvme_cvmcu_chip_cfg_c::rules_cons,uvme_cvmcu_chip,uvme_cvmcu_chip_cfg.sv,
task,5,,To Do,Implement or remove uvme_cvmcu_chip_cfg_c::post_randomize(),uvme_cvmcu_chip,uvme_cvmcu_chip_cfg.sv,
task,6,,To Do,Implement uvme_cvmcu_chip_prd_c::predict_reg_op() for registers,uvme_cvmcu_chip,uvme_cvmcu_chip_prd.sv,
task,7,,To Do,Implement uvme_cvmcu_chip_prd_c::predict_reg_op() for fields,uvme_cvmcu_chip,uvme_cvmcu_chip_prd.sv,
task,8,,To Do,Implement uvme_cvmcu_chip_prd_c::predict_reg_op() for memories,uvme_cvmcu_chip,uvme_cvmcu_chip_prd.sv,
task,9,,To Do,Implement uvme_cvmcu_chip_prd_c::process_udma_qspi0_ingress(),uvme_cvmcu_chip,uvme_cvmcu_chip_prd.sv,
task,10,,To Do,Implement uvme_cvmcu_chip_prd_c::process_udma_qspi1_ingress(),uvme_cvmcu_chip,uvme_cvmcu_chip_prd.sv,
task,11,,To Do,Implement uvme_cvmcu_chip_prd_c::process_udma_camera(),uvme_cvmcu_chip,uvme_cvmcu_chip_prd.sv,
task,12,,To Do,Implement uvme_cvmcu_chip_prd_c::process_udma_i2c0_ingress(),uvme_cvmcu_chip,uvme_cvmcu_chip_prd.sv,
task,13,,To Do,Implement uvme_cvmcu_chip_prd_c::process_udma_i2c1_ingress(),uvme_cvmcu_chip,uvme_cvmcu_chip_prd.sv,
task,14,,To Do,Implement uvme_cvmcu_chip_prd_c::process_udma_uart0_ingress(),uvme_cvmcu_chip,uvme_cvmcu_chip_prd.sv,
task,15,,To Do,Implement uvme_cvmcu_chip_prd_c::process_udma_uart1_ingress(),uvme_cvmcu_chip,uvme_cvmcu_chip_prd.sv,
task,16,,To Do,Implement uvme_cvmcu_chip_prd_c::process_apb_i2c_ingress(),uvme_cvmcu_chip,uvme_cvmcu_chip_prd.sv,
task,17,,To Do,Implement uvme_cvmcu_chip_prd_c::predict_core_event(),uvme_cvmcu_chip,uvme_cvmcu_chip_prd.sv,
task,18,,To Do,Implement uvme_cvmcu_chip_prd_c::predict_sys_event(),uvme_cvmcu_chip,uvme_cvmcu_chip_prd.sv,
task,19,,To Do,Implement uvme_cvmcu_chip_prd_c::predict_mon_dbg(),uvme_cvmcu_chip,uvme_cvmcu_chip_prd.sv,
task,20,,To Do,Implement cvmcu_chip_cfg_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
task,21,,To Do,Implement cvmcu_chip_cntxt_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
task,22,,To Do,Implement cvmcu_chip_udma_qspi0_ingress_exp_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
task,23,,To Do,Implement cvmcu_chip_udma_qspi1_ingress_exp_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
task,24,,To Do,Implement cvmcu_chip_udma_camera_exp_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
task,25,,To Do,Implement cvmcu_chip_udma_i2c0_ingress_exp_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
task,26,,To Do,Implement cvmcu_chip_udma_i2c1_ingress_exp_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
task,27,,To Do,Implement cvmcu_chip_udma_uart0_ingress_exp_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
task,28,,To Do,Implement cvmcu_chip_udma_uart1_ingress_exp_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
task,29,,To Do,Implement cvmcu_chip_apb_i2c_ingress_exp_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
task,30,,To Do,Implement cvmcu_chip_core_event_exp_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
task,31,,To Do,Implement cvmcu_chip_sys_event_exp_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
task,32,,To Do,Implement cvmcu_chip_mon_dbg_exp_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
task,33,,To Do,Implement cvmcu_chip_udma_qspi0_egress_exp_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
task,34,,To Do,Implement cvmcu_chip_udma_qspi1_egress_exp_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
task,35,,To Do,Implement cvmcu_chip_udma_i2c0_egress_exp_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
task,36,,To Do,Implement cvmcu_chip_udma_i2c1_egress_exp_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
task,37,,To Do,Implement cvmcu_chip_udma_uart0_egress_exp_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
task,38,,To Do,Implement cvmcu_chip_udma_uart1_egress_exp_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
task,39,,To Do,Implement cvmcu_chip_apb_i2c_egress_exp_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
task,40,,To Do,Implement cvmcu_chip_dbg_exp_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
task,41,,To Do,Implement cvmcu_chip_udma_qspi0_egress_act_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
task,42,,To Do,Implement cvmcu_chip_udma_qspi1_egress_act_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
task,43,,To Do,Implement cvmcu_chip_udma_i2c0_egress_act_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
task,44,,To Do,Implement cvmcu_chip_udma_i2c1_egress_act_cg,uvme_cvmcu_chip,uvme_cvmcu_chip_cov_model.sv,
