Offset,RegisterName,Type,Size,LSB,FieldName,Reset,Description
0x0,T0_CMD,WO,1,0,START,0x0,ADV_TIMER0 start command bitfield.
0x0,T0_CMD,WO,1,1,STOP,0x0,ADV_TIMER0 stop command bitfield.
0x0,T0_CMD,WO,1,2,UPDATE,0x0,ADV_TIMER0 update command bitfield.
0x0,T0_CMD,WO,1,3,RESET,0x0,ADV_TIMER0 reset command bitfield.
0x0,T0_CMD,WO,1,4,ARM,0x0,ADV_TIMER0 arm command bitfield.
0x0,T0_CMD,WO,27,5,RFU,0x0,
0x4,T0_CONFIG,RW,8,0,INSEL,0x0,"ADV_TIMER0 input source configuration bitfield:
- 0-31: GPIO[0] to GPIO[31]
- 32-35: Channel 0 to 3 of ADV_TIMER0
- 36-39: Channel 0 to 3 of ADV_TIMER1
- 40-43: Channel 0 to 3 of ADV_TIMER2
- 44-47: Channel 0 to 3 of ADV_TIMER3"
0x4,T0_CONFIG,RW,3,8,MODE,0x0,"ADV_TIMER0 trigger mode configuration bitfield:
- 3'h0: trigger event at each clock cycle.
- 3'h1: trigger event if input source is 0
- 3'h2: trigger event if input source is 1
- 3'h3: trigger event on input source rising edge
- 3'h4: trigger event on input source falling edge
- 3'h5: trigger event on input source falling or rising edge
- 3'h6: trigger event on input source rising edge when armed
- 3'h7: trigger event on input source falling edge when armed"
0x4,T0_CONFIG,RW,1,11,CLKSEL,0x0,"ADV_TIMER0 clock source configuration bitfield:
- 1'b0: FLL
- 1'b1: reference clock at 32kHz"
0x4,T0_CONFIG,RW,1,12,UPDOWNSEL,0x1,"ADV_TIMER0 center-aligned mode configuration bitfield:
- 1'b0: The counter counts up and down alternatively.
- 1'b1: The counter counts up and resets to 0 when reach threshold."
0x4,T0_CONFIG,RW,8,16,PRESC,0x0,ADV_TIMER0 prescaler value configuration bitfield.
0x8,T0_THRESHOLD,RW,16,0,TH_LO,0x0,ADV_TIMER0 threshold low part configuration bitfield. It defines start counter value.
0x8,T0_THRESHOLD,RW,16,16,TH_HI,0x0,ADV_TIMER0 threshold high part configuration bitfield. It defines end counter value.
0xC,T0_TH_CHANNEL0,RW,16,0,TH,0x0,ADV_TIMER0 channel 0 threshold configuration bitfield.
0xC,T0_TH_CHANNEL0,RW,3,16,MODE,0x0,"ADV_TIMER0 channel 0 threshold match action on channel output signal configuration bitfield:
- 3'h0: set.
- 3'h1: toggle then next threshold match action is clear.
- 3'h2: set then next threshold match action is clear.
- 3'h3: toggle.
- 3'h4: clear.
- 3'h5: toggle then next threshold match action is set.
- 3'h6: clear then next threshold match action is set."
0x10,T0_THRESHOLD,RW,0,16,TH_LO,0x0,ADV_TIMER0 threshold low part configuration bitfield. It defines start counter value.
0x8,T0_THRESHOLD,RW,16,16,TH_HI,0x0,ADV_TIMER0 threshold high part configuration bitfield. It defines end counter value.
0xC,T0_TH_CHANNEL0,RW,16,0,TH,0x0,ADV_TIMER0 channel 0 threshold configuration bitfield.
0xC,T0_TH_CHANNEL0,RW,16,3,MODE,0x0,"ADV_TIMER0 channel 0 threshold match action on channel output signal configuration bitfield:
- 3'h0: set.
- 3'h1: toggle then next threshold match action is clear.
- 3'h2: set then next threshold match action is clear.
- 3'h3: toggle.
- 3'h4: clear.
- 3'h5: toggle then next threshold match action is set.
- 3'h6: clear then next threshold match action is set."
0x10,T0_TH_CHANNEL1,RW,16,0,TH,0x0,ADV_TIMER0 channel 0 threshold configuration bitfield.
0x10,T0_TH_CHANNEL1,RW,3,16,MODE,0x0,"ADV_TIMER0 channel 0 threshold match action on channel output signal configuration bitfield:
- 3'h0: set.
- 3'h1: toggle then next threshold match action is clear.
- 3'h2: set then next threshold match action is clear.
- 3'h3: toggle.
- 3'h4: clear.
- 3'h5: toggle then next threshold match action is set.
- 3'h6: clear then next threshold match action is set."
0x14,T0_TH_CHANNEL2,RW,16,0,TH,0x0,ADV_TIMER0 channel 0 threshold configuration bitfield.
0x14,T0_TH_CHANNEL2,RW,3,16,MODE,0x0,"ADV_TIMER0 channel 0 threshold match action on channel output signal configuration bitfield:
- 3'h0: set.
- 3'h1: toggle then next threshold match action is clear.
- 3'h2: set then next threshold match action is clear.
- 3'h3: toggle.
- 3'h4: clear.
- 3'h5: toggle then next threshold match action is set.
- 3'h6: clear then next threshold match action is set."
0x18,T0_TH_CHANNEL3,RW,16,0,TH,0x0,ADV_TIMER0 channel 0 threshold configuration bitfield.
0x18,T0_TH_CHANNEL3,RW,3,16,MODE,0x0,"ADV_TIMER0 channel 0 threshold match action on channel output signal configuration bitfield:
- 3'h0: set.
- 3'h1: toggle then next threshold match action is clear.
- 3'h2: set then next threshold match action is clear.
- 3'h3: toggle.
- 3'h4: clear.
- 3'h5: toggle then next threshold match action is set.
- 3'h6: clear then next threshold match action is set."
0x2C,T0_COUNTER,,16,0,COUNTER,0x0,ADV_TIMER0 counter value.
0x40,T1_CMD,WO,1,0,START,0x0,ADV_TIMER0 start command bitfield.
0x40,T1_CMD,WO,1,1,STOP,0x0,ADV_TIMER0 stop command bitfield.
0x40,T1_CMD,WO,1,2,UPDATE,0x0,ADV_TIMER0 update command bitfield.
0x40,T1_CMD,WO,1,3,RESET,0x0,ADV_TIMER0 reset command bitfield.
0x40,T1_CMD,WO,1,4,ARM,0x0,ADV_TIMER0 arm command bitfield.
0x40,T1_CMD,WO,27,5,RFU,0x0,
0x44,T1_CONFIG,RW,8,0,INSEL,0x0,"ADV_TIMER0 input source configuration bitfield:
- 0-31: GPIO[0] to GPIO[31]
- 32-35: Channel 0 to 3 of ADV_TIMER0
- 36-39: Channel 0 to 3 of ADV_TIMER1
- 40-43: Channel 0 to 3 of ADV_TIMER2
- 44-47: Channel 0 to 3 of ADV_TIMER3"
0x44,T1_CONFIG,RW,3,8,MODE,0x0,"ADV_TIMER0 trigger mode configuration bitfield:
- 3'h0: trigger event at each clock cycle.
- 3'h1: trigger event if input source is 0
- 3'h2: trigger event if input source is 1
- 3'h3: trigger event on input source rising edge
- 3'h4: trigger event on input source falling edge
- 3'h5: trigger event on input source falling or rising edge
- 3'h6: trigger event on input source rising edge when armed
- 3'h7: trigger event on input source falling edge when armed"
0x44,T1_CONFIG,RW,1,11,CLKSEL,0x0,"ADV_TIMER0 clock source configuration bitfield:
- 1'b0: FLL
- 1'b1: reference clock at 32kHz"
0x44,T1_CONFIG,RW,1,12,UPDOWNSEL,0x1,"ADV_TIMER0 center-aligned mode configuration bitfield:
- 1'b0: The counter counts up and down alternatively.
- 1'b1: The counter counts up and resets to 0 when reach threshold."
0x44,T1_CONFIG,RW,8,16,PRESC,0x0,ADV_TIMER0 prescaler value configuration bitfield.
0x48,T1_THRESHOLD,RW,0,16,TH_LO,0x0,ADV_TIMER0 threshold low part configuration bitfield. It defines start counter value.
0x48,T1_THRESHOLD,RW,16,16,TH_HI,0x0,ADV_TIMER0 threshold high part configuration bitfield. It defines end counter value.
0x4C,T1_TH_CHANNEL0,RW,16,0,TH,0x0,ADV_TIMER0 channel 0 threshold configuration bitfield.
0x4C,T1_TH_CHANNEL0,RW,3,16,MODE,0x0,"ADV_TIMER0 channel 0 threshold match action on channel output signal configuration bitfield:
- 3'h0: set.
- 3'h1: toggle then next threshold match action is clear.
- 3'h2: set then next threshold match action is clear.
- 3'h3: toggle.
- 3'h4: clear.
- 3'h5: toggle then next threshold match action is set.
- 3'h6: clear then next threshold match action is set."
0x50,T1_TH_CHANNEL1,RW,16,0,TH,0x0,ADV_TIMER0 channel 0 threshold configuration bitfield.
0x50,T1_TH_CHANNEL1,RW,3,16,MODE,0x0,"ADV_TIMER0 channel 0 threshold match action on channel output signal configuration bitfield:
- 3'h0: set.
- 3'h1: toggle then next threshold match action is clear.
- 3'h2: set then next threshold match action is clear.
- 3'h3: toggle.
- 3'h4: clear.
- 3'h5: toggle then next threshold match action is set.
- 3'h6: clear then next threshold match action is set."
0x54,T1_TH_CHANNEL2,RW,16,0,TH,0x0,ADV_TIMER0 channel 0 threshold configuration bitfield.
0x54,T1_TH_CHANNEL2,RW,3,16,MODE,0x0,"ADV_TIMER0 channel 0 threshold match action on channel output signal configuration bitfield:
- 3'h0: set.
- 3'h1: toggle then next threshold match action is clear.
- 3'h2: set then next threshold match action is clear.
- 3'h3: toggle.
- 3'h4: clear.
- 3'h5: toggle then next threshold match action is set.
- 3'h6: clear then next threshold match action is set."
0x58,T1_TH_CHANNEL3,RW,16,0,TH,0x0,ADV_TIMER0 channel 0 threshold configuration bitfield.
0x58,T1_TH_CHANNEL3,RW,3,16,MODE,0x0,"ADV_TIMER0 channel 0 threshold match action on channel output signal configuration bitfield:
- 3'h0: set.
- 3'h1: toggle then next threshold match action is clear.
- 3'h2: set then next threshold match action is clear.
- 3'h3: toggle.
- 3'h4: clear.
- 3'h5: toggle then next threshold match action is set.
- 3'h6: clear then next threshold match action is set."
0x6C,T1_COUNTER,WO,16,0,COUNTER,0x0,ADV_TIMER0 counter value.
0x80,T2_CMD,WO,1,0,START,0x0,ADV_TIMER0 start command bitfield.
0x80,T2_CMD,WO,1,1,STOP,0x0,ADV_TIMER0 stop command bitfield.
0x80,T2_CMD,WO,1,2,UPDATE,0x0,ADV_TIMER0 update command bitfield.
0x80,T2_CMD,WO,1,3,RESET,0x0,ADV_TIMER0 reset command bitfield.
0x80,T2_CMD,WO,1,4,ARM,0x0,ADV_TIMER0 arm command bitfield.
0x80,T2_CMD,,27,5,RFU,0x0,
0x84,T2_CONFIG,RW,8,0,INSEL,0x0,"ADV_TIMER0 input source configuration bitfield:
- 0-31: GPIO[0] to GPIO[31]
- 32-35: Channel 0 to 3 of ADV_TIMER0
- 36-39: Channel 0 to 3 of ADV_TIMER1
- 40-43: Channel 0 to 3 of ADV_TIMER2
- 44-47: Channel 0 to 3 of ADV_TIMER3"
0x84,T2_CONFIG,RW,3,8,MODE,0x0,"ADV_TIMER0 trigger mode configuration bitfield:
- 3'h0: trigger event at each clock cycle.
- 3'h1: trigger event if input source is 0
- 3'h2: trigger event if input source is 1
- 3'h3: trigger event on input source rising edge
- 3'h4: trigger event on input source falling edge
- 3'h5: trigger event on input source falling or rising edge
- 3'h6: trigger event on input source rising edge when armed
- 3'h7: trigger event on input source falling edge when armed"
0x84,T2_CONFIG,RW,1,11,CLKSEL,0x0,"ADV_TIMER0 clock source configuration bitfield:
- 1'b0: FLL
- 1'b1: reference clock at 32kHz"
0x84,T2_CONFIG,RW,1,12,UPDOWNSEL,0x1,"ADV_TIMER0 center-aligned mode configuration bitfield:
- 1'b0: The counter counts up and down alternatively.
- 1'b1: The counter counts up and resets to 0 when reach threshold."
0x84,T2_CONFIG,RW,8,16,PRESC,0x0,ADV_TIMER0 prescaler value configuration bitfield.
0x88,T2_THRESHOLD,RW,0,16,TH_LO,0x0,ADV_TIMER0 threshold low part configuration bitfield. It defines start counter value.
0x88,T2_THRESHOLD,RW,16,16,TH_HI,0x0,ADV_TIMER0 threshold high part configuration bitfield. It defines end counter value.
0x8C,T2_TH_CHANNEL0,RW,16,0,TH,0x0,ADV_TIMER0 channel 0 threshold configuration bitfield.
0x8C,T2_TH_CHANNEL0,RW,3,16,MODE,0x0,"ADV_TIMER0 channel 0 threshold match action on channel output signal configuration bitfield:
- 3'h0: set.
- 3'h1: toggle then next threshold match action is clear.
- 3'h2: set then next threshold match action is clear.
- 3'h3: toggle.
- 3'h4: clear.
- 3'h5: toggle then next threshold match action is set.
- 3'h6: clear then next threshold match action is set."
0x90,T2_TH_CHANNEL1,RW,16,0,TH,0x0,ADV_TIMER0 channel 0 threshold configuration bitfield.
0x90,T2_TH_CHANNEL1,RW,3,16,MODE,0x0,"ADV_TIMER0 channel 0 threshold match action on channel output signal configuration bitfield:
- 3'h0: set.
- 3'h1: toggle then next threshold match action is clear.
- 3'h2: set then next threshold match action is clear.
- 3'h3: toggle.
- 3'h4: clear.
- 3'h5: toggle then next threshold match action is set.
- 3'h6: clear then next threshold match action is set."
0x94,T2_TH_CHANNEL2,RW,16,0,TH,0x0,ADV_TIMER0 channel 0 threshold configuration bitfield.
0x94,T2_TH_CHANNEL2,RW,3,16,MODE,0x0,"ADV_TIMER0 channel 0 threshold match action on channel output signal configuration bitfield:
- 3'h0: set.
- 3'h1: toggle then next threshold match action is clear.
- 3'h2: set then next threshold match action is clear.
- 3'h3: toggle.
- 3'h4: clear.
- 3'h5: toggle then next threshold match action is set.
- 3'h6: clear then next threshold match action is set."
0x98,T2_TH_CHANNEL3,RW,16,0,TH,0x0,ADV_TIMER0 channel 0 threshold configuration bitfield.
0x98,T2_TH_CHANNEL3,RW,3,16,MODE,0x0,"ADV_TIMER0 channel 0 threshold match action on channel output signal configuration bitfield:
- 3'h0: set.
- 3'h1: toggle then next threshold match action is clear.
- 3'h2: set then next threshold match action is clear.
- 3'h3: toggle.
- 3'h4: clear.
- 3'h5: toggle then next threshold match action is set.
- 3'h6: clear then next threshold match action is set."
0xAC,T2_COUNTER,WO,16,0,COUNTER,0x0,ADV_TIMER0 counter value.
0xC0,T3_CMD,WO,1,0,START,0x0,ADV_TIMER0 start command bitfield.
0xC0,T3_CMD,WO,1,1,STOP,0x0,ADV_TIMER0 stop command bitfield.
0xC0,T3_CMD,WO,1,2,UPDATE,0x0,ADV_TIMER0 update command bitfield.
0xC0,T3_CMD,WO,1,3,RESET,0x0,ADV_TIMER0 reset command bitfield.
0xC0,T3_CMD,WO,1,4,ARM,0x0,ADV_TIMER0 arm command bitfield.
0xC0,T3_CMD,WO,27,5,RFU,0x0,
0xC4,T3_CONFIG,RW,8,0,INSEL,0x0,"ADV_TIMER0 input source configuration bitfield:
- 0-31: GPIO[0] to GPIO[31]
- 32-35: Channel 0 to 3 of ADV_TIMER0
- 36-39: Channel 0 to 3 of ADV_TIMER1
- 40-43: Channel 0 to 3 of ADV_TIMER2
- 44-47: Channel 0 to 3 of ADV_TIMER3"
0xC4,T3_CONFIG,RW,3,8,MODE,0x0,"ADV_TIMER0 trigger mode configuration bitfield:
- 3'h0: trigger event at each clock cycle.
- 3'h1: trigger event if input source is 0
- 3'h2: trigger event if input source is 1
- 3'h3: trigger event on input source rising edge
- 3'h4: trigger event on input source falling edge
- 3'h5: trigger event on input source falling or rising edge
- 3'h6: trigger event on input source rising edge when armed
- 3'h7: trigger event on input source falling edge when armed"
0xC4,T3_CONFIG,RW,1,11,CLKSEL,0x0,"ADV_TIMER0 clock source configuration bitfield:
- 1'b0: FLL
- 1'b1: reference clock at 32kHz"
0xC4,T3_CONFIG,RW,1,12,UPDOWNSEL,0x1,"ADV_TIMER0 center-aligned mode configuration bitfield:
- 1'b0: The counter counts up and down alternatively.
- 1'b1: The counter counts up and resets to 0 when reach threshold."
