Offset,RegisterName,Type,Size,LSB,FieldName,Reset,Description
0x00,SETGPIO,WO,8,0,gpio_num,0x0,Set GPIO[gpio_num] = 1
0x04,CLRGPIO,WO,8,0,gpio_num,0x0,Set GPIO[gpio_num] = 0
0x08,TOGGPIO,WO,8,0,gpio_num,0x0,Invert the output of GPIO[gpio_num]
0x10,PIN0,RO,32,0,gpio_value,0x0,gpio_value[31:0] = GPIO[31:0]
0x14,PIN1,RO,32,0,gpio_value,0x0,gpio_value[31:0] = GPIO[63:32]
0x18,PIN2,RO,32,0,gpio_value,0x0,gpio_value[31:0] = GPIO[95:64]
0x1C,PIN3,RO,32,0,gpio_value,0x0,gpio_value[31:0] = GPIO[127:96]
0x20,OUT0,WO,32,0,value,0x0,Drive value[31:0] onto GPIO[31:0]
0x24,OUT1,WO,32,0,value,0x0,Drive value[31:0] onto GPIO[63:32]
0x28,OUT2,WO,32,0,value,0x0,Drive value[31:0] onto GPIO[95:64]
0x2C,OUT3,WO,32,0,value,0x0,Drive value[31:0] onto GPIO[127:96]
0x30,SETSEL,WO,8,0,gpio_num,0x0,"Set gpio_num for use by RDSTAT. Note: SETGPIO, CLRGPIO, TOGGPIO and SETINT set gpio_num"
0x34,RDSTAT,RO,2,24,mode,0x0,"Read the mode control for GPIO[gpio_num] (set gpio_num using SETSEL). 0x0: Input only (output is tri-stated). 0x1: Output active. 0x2: Open drain (value=0 drives 0, when value=1 tristated). 0x3: Open drain (value=0 drives 0, when value=1 tristated)."
0x34,RDSTAT,RO,3,17,INTTYPE,0x0,"Type of interrupt for GPIO[gpio_num]. 0x0: active low, level type interrupt. 0x1: rising edge type interupt. 0x2: falling edge type interrupt. 0x3: no interrupt. 0x4: active high, level type interrupt. 0x5 to 0x7: no interrupt"
0x34,RDSTAT,RW,1,16,INTEN,0x0,Enable interrupt for GPIO[gpio_num]
0x34,RDSTAT,RO,1,12,INPUT_val,0x0,Input value reported by GPIO[gpio_num]
0x34,RDSTAT,RO,1,8,OUTPUT_val,0x0,Output value that is set on GPIO[gpio_num]
0x34,RDSTAT,RO,8,0,gpio_sel,0x0,Selected gpio
0x38,SETMODE,WO,2,24,mode,0x0,"mode control for GPIO[gpio_num}. 0x0: Input only (output is tri-stated). 0x1: Output active. 0x2: Open drain (value=0 drives 0, when value=1 tristated). 0x3: Open drain (value=0 drives 0, when value=1 tristated)"
0x38,SETMODE,WO,8,0,gpio_num,0x0,Address of GPIO to set mode for
0x3C,SETINT,WO,3,17,INTTYPE,0x0,"Type of interrupt for GPIO[gpio_num]. 0x0: active low, level type interrupt. 0x1: rising edge type interupt. 0x2: falling edge type interrupt. 0x3: no interrupt. 0x4: active high, level type interrupt. 0x5 to 0x7: no interrupt."
0x3C,SETINT,WO,1,16,INTENABLE,0x0,Enable interrupt on GPIO[GPIO_ADDDR]
0x3C,SETINT,WO,8,0,gpio_num,0x0,Address of GPIO to set interrupt type and enable for
0x40,INTACK,RW,8,0,gpio_num,0x0,Input value reported by GPIO[gpio_num]
0x40,INTACK,RW,24,8,RESERVED,0x0,Enable interrupt for GPIO[gpio_num]
